,name,winPlace,kills,Map,Time
76,II Benn XD,9,1,Savage_Main,2019-03-03T19:45:21Z
77,Showstoper37,2,0,Savage_Main,2019-03-03T19:45:21Z
78,Austindoodles,1,0,Savage_Main,2019-03-03T19:45:21Z
79,AK47AZ,14,0,Savage_Main,2019-03-03T19:45:21Z
80,L2K Blackers09,19,0,Savage_Main,2019-03-03T19:45:21Z
81,nD x eXtreIVIe,18,0,Savage_Main,2019-03-03T19:45:21Z
82,XspiredKaleb10,6,1,Savage_Main,2019-03-03T19:45:21Z
83,DirtMcGirt9484,16,1,Savage_Main,2019-03-03T19:45:21Z
84,Eastyfosheezy87,8,2,Savage_Main,2019-03-03T19:45:21Z
85,DAYDAY11,7,1,Savage_Main,2019-03-03T19:45:21Z
86,DarK UnFoRSaKeN,12,2,Savage_Main,2019-03-03T19:45:21Z
87,L2K Denzel169,5,0,Savage_Main,2019-03-03T19:45:21Z
88,azjames,3,0,Savage_Main,2019-03-03T19:45:21Z
0,II Benn XD,2,0,Desert_Main,2019-03-03T19:00:57Z
1,aG BR3AZ,6,0,Desert_Main,2019-03-03T19:00:57Z
2,MONEY0306,22,1,Desert_Main,2019-03-03T19:00:57Z
3,L2K Blablets,1,2,Desert_Main,2019-03-03T19:00:57Z
4,SavageKing022,2,0,Desert_Main,2019-03-03T19:00:57Z
5,DirtMcGirt9484,12,0,Desert_Main,2019-03-03T19:00:57Z
6,DarK UnFoRSaKeN,5,4,Desert_Main,2019-03-03T19:00:57Z
7,MannyZcustom,22,1,Desert_Main,2019-03-03T19:00:57Z
8,KnightFox66,18,0,Desert_Main,2019-03-03T19:00:57Z
9,nD x eXtreIVIe,15,1,Desert_Main,2019-03-03T19:00:57Z
10,L2K Denzel169,6,1,Desert_Main,2019-03-03T19:00:57Z
11,XspiredKaleb10,13,0,Desert_Main,2019-03-03T19:00:57Z
12,vL Biz,9,2,Desert_Main,2019-03-03T19:00:57Z
13,Angry Kelly22,21,0,Desert_Main,2019-03-03T19:00:57Z
14,HOGGZILLAA,2,1,Desert_Main,2019-03-03T19:00:57Z
15,subiepnw,18,0,Desert_Main,2019-03-03T19:00:57Z
16,FearTheWine,9,2,Desert_Main,2019-03-03T19:00:57Z
17,StrangeCrown223,22,0,Desert_Main,2019-03-03T19:00:57Z
18,Tankindebros,3,0,Desert_Main,2019-03-03T19:00:57Z
19,SpiredStudent30,21,0,Desert_Main,2019-03-03T19:00:57Z
20,DBC Dippyy,7,3,Desert_Main,2019-03-03T19:00:57Z
21,Austindoodles,14,0,Desert_Main,2019-03-03T19:00:57Z
22,Budkeiser13,17,0,Desert_Main,2019-03-03T19:00:57Z
23,Nutshelll,9,4,Desert_Main,2019-03-03T19:00:57Z
24,ppdoyouloveme,14,1,Desert_Main,2019-03-03T19:00:57Z
25,sithlord12688,21,0,Desert_Main,2019-03-03T19:00:57Z
26,BLEE561,5,3,Desert_Main,2019-03-03T19:00:57Z
27,blintzboy406,10,1,Desert_Main,2019-03-03T19:00:57Z
28,HAPPYCAMPER712,4,4,Desert_Main,2019-03-03T19:00:57Z
29,L2K REL999,6,2,Desert_Main,2019-03-03T19:00:57Z
30,ddaddydolla,8,0,Desert_Main,2019-03-03T19:00:57Z
31,stonedjibby,13,0,Desert_Main,2019-03-03T19:00:57Z
32,SON OF BORG,13,0,Desert_Main,2019-03-03T19:00:57Z
33,DAYDAY11,20,0,Desert_Main,2019-03-03T19:00:57Z
34,docshankle,20,0,Desert_Main,2019-03-03T19:00:57Z
35,DreadfulGecko,12,0,Desert_Main,2019-03-03T19:00:57Z
36,L2K Blackers09,1,1,Desert_Main,2019-03-03T19:00:57Z
37,xPlatinumV2x,14,1,Desert_Main,2019-03-03T19:00:57Z
38,SilverBullet198,19,0,Desert_Main,2019-03-03T19:00:57Z
39,J Musser,19,0,Desert_Main,2019-03-03T19:00:57Z
40,LittleEast36,4,1,Desert_Main,2019-03-03T19:00:57Z
41,xCAPnPlanet18x,3,3,Desert_Main,2019-03-03T19:00:57Z
42,azjames,9,1,Desert_Main,2019-03-03T19:00:57Z
43,Way2Slippery,11,0,Desert_Main,2019-03-03T19:00:57Z
44,SL0SHER,11,0,Desert_Main,2019-03-03T19:00:57Z
45,BradenAwesome22,20,0,Desert_Main,2019-03-03T19:00:57Z
46,AK47AZ,7,1,Desert_Main,2019-03-03T19:00:57Z
47,TREMD0G,18,0,Desert_Main,2019-03-03T19:00:57Z
48,Higgmundo,16,0,Desert_Main,2019-03-03T19:00:57Z
49,Darth Gayder,5,2,Desert_Main,2019-03-03T19:00:57Z
50,brandon p22,13,0,Desert_Main,2019-03-03T19:00:57Z
51,Kaos 821x,22,0,Desert_Main,2019-03-03T19:00:57Z
52,YukonSmoke,18,0,Desert_Main,2019-03-03T19:00:57Z
53,lookbehindyou9,14,0,Desert_Main,2019-03-03T19:00:57Z
54,DBC Gunit,7,2,Desert_Main,2019-03-03T19:00:57Z
55,L2K BOENDER,6,0,Desert_Main,2019-03-03T19:00:57Z
56,L2K KeeefyG83,1,3,Desert_Main,2019-03-03T19:00:57Z
57,KSA Sinless96,10,0,Desert_Main,2019-03-03T19:00:57Z
58,OakDawGz,11,0,Desert_Main,2019-03-03T19:00:57Z
59,Dablindsquirrel,2,4,Desert_Main,2019-03-03T19:00:57Z
60,DBC Swoldier,7,1,Desert_Main,2019-03-03T19:00:57Z
61,ltsSCOOBY,12,1,Desert_Main,2019-03-03T19:00:57Z
62,Sypher5,20,0,Desert_Main,2019-03-03T19:00:57Z
63,DanDivision,19,0,Desert_Main,2019-03-03T19:00:57Z
64,lxxKHAOSxxl,16,0,Desert_Main,2019-03-03T19:00:57Z
65,JEAZY30,17,3,Desert_Main,2019-03-03T19:00:57Z
66,Showstoper37,17,1,Desert_Main,2019-03-03T19:00:57Z
67,kez the pro XD,3,1,Desert_Main,2019-03-03T19:00:57Z
68,Eastyfosheezy87,16,0,Desert_Main,2019-03-03T19:00:57Z
69,X DarthSucks X,5,1,Desert_Main,2019-03-03T19:00:57Z
